study\_path\_or\_degree,future\_degree\_options,job\_title,core\_skills,pakistan\_opportunity,remote\_potential,international\_potential,source
Matriculation / Secondary School Certificate (SSC),FSc Pre-Medical; FSc Pre-Engineering; ICS (Intermediate in Computer Science); ICom (Intermediate in Commerce); FA (Faculty of Arts / Humanities); Diploma of Associate Engineer (DAE),"Not applicable at this qualification level; leads to careers after Intermediate, DAE, or university education",Critical thinking; Basic mathematics; Science fundamentals; Elementary digital literacy; Problem solving,Essential foundational requirement for entry into Higher Secondary School Certificate (HSSC) and DAE technical programs across Punjab and Pakistan.,"Low — Remote opportunities are generally limited at SSC level, but digital skills can support entry-level online work after further training.",Low — SSC alone provides limited international employment opportunities; further education or vocational/technical qualifications are normally required.,The\_Future\_Skills\_for\_the\_IT\_Industry\_WhitePaper.pdf; HEC Pakistan Curriculum Framework
HSSC Pre-Medical,MBBS; BDS; Doctor of Physical Therapy (DPT); BS Nursing; BS Medical Laboratory Technology; BS Medical Imaging Technology; BS Anesthesia Technology; BS Biotechnology; BS Microbiology; BS Biochemistry; BS Public Health,Doctor; Dentist; Physiotherapist; Nurse; Medical Laboratory Technologist; Medical Imaging Technologist; Biotechnologist; Microbiologist; Biochemist; Public Health Professional,Human biology; Chemistry principles; Laboratory safety; Scientific inquiry; Patient care ethics,"Mandatory eligibility prerequisite (minimum 50% score) for admission to medical, dental, nursing, and allied health sciences degree programs across Pakistani universities.","Low — Most careers reached through this pathway, including medicine, nursing and laboratory work, require physical or clinical settings; limited remote opportunities exist in health education, health data and telehealth support.","High — The pathway leads to healthcare degrees such as MBBS, nursing and allied health programs, with international opportunities available after obtaining the required professional qualification, registration and licensing.",Allied-Health-Sciences.pdf - HEC; HEC Revised Curriculum Archive
HSSC Pre-Engineering,BS Mechanical Engineering; BS Electrical Engineering; BS Civil Engineering; BS Chemical Engineering; BS Mechatronics Engineering; BS Computer Engineering; BS Computer Science; BS Physics; BS Mathematics,Mechanical Engineer; Electrical Engineer; Civil Engineer; Chemical Engineer; Mechatronics Engineer; Computer Engineer; Software Engineer; Data Scientist; Mathematician; Physicist,Advanced mathematics; Physics principles; Engineering drawing basics; Analytical reasoning; Quantitative problem solving,Core prerequisite for admission to PEC and HEC accredited engineering and physical science degree programs in Pakistan.,"Low — Remote work is limited at the HSSC level, although subsequent engineering, computing and mathematics degrees can lead to remote technical, design, software and analytical work.","High — The pathway leads to engineering and computing degrees with internationally transferable technical skills; overseas employment generally requires the relevant degree and, where applicable, professional recognition/licensing.",CURRICULUM FOR MECHANICAL ENGINEERING Bachelor of Engineering Program 2024 PEC & HEC
HSSC ICS (Intermediate in Computer Science),BS Computer Science; BS Software Engineering; BS Artificial Intelligence; BS Data Science; BS Cyber Security; BS Information Technology; Associate Degree in Computing,Junior Web Developer; IT Support Assistant; Database Assistant,Computer fundamentals; Programming basics; Mathematics; Problem solving; Logic design,"Entry-level technical support, web updates, and IT-enabled services (ITeS) roles in local firms across Pakistan.","Moderate (Freelancing in basic web maintenance, HTML/CSS scripting, and data entry on Upwork and Fiverr).",Low (Requires further higher education or industry certifications for formal international employment).,revised curriculum for degree programs in computer science - HEC; OICCI-DIGITAL-REPORT-2025-FINAL.pdf
HSSC ICom (Intermediate in Commerce),BBA (Bachelor of Business Administration); BS Accounting & Finance; BS Commerce; BS Economics; BS Business Analytics; Associate Degree in Commerce,Accounts Assistant; Junior Bookkeeper; Audit Clerk,Principles of accounting; Bookkeeping; Business mathematics; Commercial geography; Basic office tools,"Entry-level clerical, bookkeeping, and administrative support positions in local SMEs, retail, and commercial firms.",Low (Basic bookkeeping and data entry gigs available online).,Low (Overseas employment generally requires professional accounting certifications or a Bachelor degree).,HEC Notifies Revised Curriculum of Business and Management Studies 2025; PBS Labour Force Survey
FA / Faculty of Arts,BS English; BS Psychology; BS Sociology; BS Political Science; BS International Relations; BS Media & Communication Studies; BS Law (LLB 5-Year); BS Education,Junior Content Writer; Office Assistant; Customer Service Representative,Written communication; Reading comprehension; Cultural awareness; Basic ICT skills; Interpersonal skills,"Administrative support, public sector clerical jobs, entry-level customer service, and media assistant roles.","Moderate (Freelance content writing, transcription, and virtual assistance).",Low (Formal overseas positions generally require university-level qualification).,English.pdf - HEC; news HEC Issues Revised Curricula for Degree Programmes in Psychology
BS Computer Science,MS Computer Science; MS Software Engineering; MS Data Science; PhD Computer Science,Software Engineer; Full-Stack Developer; Systems Architect,"Programming languages (C++, Java, Python); Data structures & algorithms; Software architecture; Operating systems; Database management","High demand across 5,000+ registered Pakistani IT firms, tech startups, and software export technology parks driving $3.8B+ IT exports.",High (Top freelance export sector generating $1.76B earnings in FY2025-26; extensive remote global developer jobs).,"High (Global tech talent shortage; widespread international visa pathways and remote/relocation options. Median pay $134,040/yr - US BLS).",revised curriculum for degree programs in computer science - HEC; OICCI-DIGITAL-REPORT-2025-FINAL.pdf; US Bureau of Labor Statistics
BS Artificial Intelligence,MS Artificial Intelligence; MS Machine Learning; PhD Artificial Intelligence,Artificial Intelligence Engineer; Machine Learning Engineer; NLP Specialist,Machine Learning; Deep Learning; Python; TensorFlow; PyTorch; Computer Vision; Natural Language Processing; Agentic AI,"National technology priority highlighted by P\@SHA and HEC; rapid deployment in AI research labs, telecom, and enterprise automation.","High (Remote AI model fine-tuning, prompt engineering, and ML pipeline development for global technology firms).","High (Surging global demand across tech, finance, and healthcare; top-tier international talent search. Median pay $140,300/yr - US BLS).",revised curriculum for degree programs in computer science - HEC; The\_Future\_Skills\_for\_the\_IT\_Industry\_WhitePaper.pdf; Digital Progress and Trends Report 2025 - World Bank
BS Data Science,MS Data Science; MS Big Data Analytics; PhD Data Science,Data Scientist; Data Analyst; Business Intelligence Developer,Computational statistics; Big data analytics; Python / R; Power BI; SQL; Machine learning; Data wrangling,"Rapid adoption in telecom, fintech, banking, e-commerce, and corporate analytics departments in Pakistan.","High (Remote business intelligence reporting, predictive modeling, and freelance data analytics consulting).","High (Fastest-growing occupation globally with +35% projected growth; median pay $120,230/yr - US BLS).",revised curriculum for degree programs in computer science - HEC; US Bureau of Labor Statistics; OICCI-DIGITAL-REPORT-2025-FINAL.pdf
BS Software Engineering,MS Software Engineering; MS Computer Science; Executive MBA in IT Management,Software Quality Assurance Engineer; DevOps Engineer; Agile Project Manager,Software testing & QA; DevOps CI/CD pipelines; SDLC methodologies; System design; Cloud deployment; Agile project management,"Extensive opportunities in local software houses, software export firms, and corporate IT departments.","High (Remote DevOps management, QA automation, and contract software engineering).",High (Global software industry demand; standard Washington Accord / Seoul Accord international recognition).,revised curriculum for degree programs in computer science - HEC; The\_Future\_Skills\_for\_the\_IT\_Industry\_WhitePaper.pdf
