university_name,city,program_name,eligibility,duration,estimated_fee,admission_test,official_source
University of the Punjab (PU),Lahore,BS Computer Science,"FSc Pre-Engineering/ICS or equivalent, min 60%",4 years,"PKR 30,000 - 45,000 per semester",PU Entry Test,https://pu.edu.pk
University of the Punjab (PU),Lahore,BA-LL.B (Hons),"FA/FSc/I.Com or equivalent, min 45%, valid LAT score",5 years,"PKR 35,000 - 50,000 per semester",LAT,https://pulc.edu.pk
University of the Punjab (PU),Lahore,BS Economics,"FA/FSc or equivalent, min 45%",4 years,"PKR 25,000 - 35,000 per semester",PU Entry Test,https://pu.edu.pk
University of the Punjab (PU),Lahore,BS Psychology,"FA/FSc or equivalent, min 45%",4 years,"PKR 25,000 - 35,000 per semester",PU Entry Test,https://pu.edu.pk
Lahore University of Management Sciences (LUMS),Lahore,BS Computer Science,"FSc Pre-Engineering/ICS/A-Levels or equivalent, min 60%",4 years,"PKR 250,000 - 300,000 per semester",SAT / LCAT,https://lums.edu.pk
Lahore University of Management Sciences (LUMS),Lahore,BSc (Hons) Management Science,"FA/FSc/A-Levels or equivalent, min 60%",4 years,"PKR 250,000 - 300,000 per semester",SAT / LCAT,https://lums.edu.pk
Lahore University of Management Sciences (LUMS),Lahore,BA-LL.B (Hons),"FA/FSc/A-Levels or equivalent, min 60%",5 years,"PKR 250,000 - 300,000 per semester",SAT / LCAT,https://lums.edu.pk
Lahore University of Management Sciences (LUMS),Lahore,BSc (Hons) Economics,"FA/FSc/A-Levels or equivalent, min 60%",4 years,"PKR 250,000 - 300,000 per semester",SAT / LCAT,https://lums.edu.pk
FAST-NUCES Lahore Campus,Lahore,BS Computer Science,"FSc Pre-Engineering/ICS or equivalent, min 60%",4 years,"PKR 150,000 - 200,000 per semester",NU Entry Test (NAT),https://nu.edu.pk
FAST-NUCES Lahore Campus,Lahore,BS Software Engineering,"FSc Pre-Engineering/ICS or equivalent, min 60%",4 years,"PKR 150,000 - 200,000 per semester",NU Entry Test (NAT),https://nu.edu.pk
FAST-NUCES Lahore Campus,Lahore,BS Artificial Intelligence,"FSc Pre-Engineering/ICS or equivalent, min 60%",4 years,"PKR 150,000 - 200,000 per semester",NU Entry Test (NAT),https://nu.edu.pk
UET Lahore,Lahore,BS Electrical Engineering,"FSc Pre-Engineering or equivalent, min 60%",4 years,"PKR 70,000 - 95,000 per semester",ECAT,https://uet.edu.pk
UET Lahore,Lahore,BS Computer Science,"FSc Pre-Engineering/ICS or equivalent, min 60%",4 years,"PKR 55,000 - 75,000 per semester",ECAT,https://uet.edu.pk
UET Lahore,Lahore,BS Software Engineering,"FSc Pre-Engineering/ICS or equivalent, min 60%",4 years,"PKR 55,000 - 75,000 per semester",ECAT,https://uet.edu.pk
Government College University (GCU) Lahore,Lahore,BS Computer Science,"FSc Pre-Engineering/ICS or equivalent, min 50%",4 years,"PKR 25,000 - 35,000 per semester",GCU Entry Test,https://gcu.edu.pk
Government College University (GCU) Lahore,Lahore,BS Economics,"FA/FSc or equivalent, min 45%",4 years,"PKR 20,000 - 30,000 per semester",GCU Entry Test,https://gcu.edu.pk
Government College University (GCU) Lahore,Lahore,BS English,"FA/FSc or equivalent, min 45%",4 years,"PKR 20,000 - 30,000 per semester",GCU Entry Test,https://gcu.edu.pk
Government College University (GCU) Lahore,Lahore,BS Mass Communication,"FA/FSc or equivalent, min 45%",4 years,"PKR 22,000 - 32,000 per semester",GCU Entry Test,https://gcu.edu.pk
King Edward Medical University (KEMU),Lahore,MBBS,"FSc Pre-Medical or equivalent, min 70%, valid MDCAT score",5 years,"PKR 40,000 - 100,000 per year",MDCAT,https://kemu.edu.pk
King Edward Medical University (KEMU),Lahore,Doctor of Physical Therapy (DPT),"FSc Pre-Medical or equivalent, min 60%, valid MDCAT score",5 years,"PKR 60,000 - 100,000 per year",MDCAT,https://kemu.edu.pk
Allama Iqbal Medical College,Lahore,MBBS,"FSc Pre-Medical or equivalent, min 70%, valid MDCAT score",5 years,"PKR 40,000 - 90,000 per year",MDCAT,https://aimc.edu.pk
University of Central Punjab (UCP),Lahore,BS Computer Science,"FSc Pre-Engineering/ICS or equivalent, min 50%",4 years,"PKR 70,000 - 100,000 per semester",UCP Aptitude Test,https://ucp.edu.pk
University of Central Punjab (UCP),Lahore,BBA (Hons),"FA/FSc/I.Com or equivalent, min 45%",4 years,"PKR 65,000 - 95,000 per semester",UCP Aptitude Test,https://ucp.edu.pk
University of Central Punjab (UCP),Lahore,BS Mass Communication,"FA/FSc or equivalent, min 45%",4 years,"PKR 60,000 - 90,000 per semester",UCP Aptitude Test,https://ucp.edu.pk
COMSATS University Islamabad - Lahore Campus,Lahore,BS Computer Science,"FSc Pre-Engineering/ICS or equivalent, min 60%",4 years,"PKR 60,000 - 90,000 per semester",NTS NAT,https://cuilahore.edu.pk
COMSATS University Islamabad - Lahore Campus,Lahore,BS Software Engineering,"FSc Pre-Engineering/ICS or equivalent, min 60%",4 years,"PKR 60,000 - 90,000 per semester",NTS NAT,https://cuilahore.edu.pk
COMSATS University Islamabad - Lahore Campus,Lahore,BS Data Science,"FSc Pre-Engineering/ICS or equivalent, min 60%",4 years,"PKR 60,000 - 90,000 per semester",NTS NAT,https://cuilahore.edu.pk
National College of Arts (NCA),Lahore,BFA (Fine Arts),"FA/FSc or equivalent, min 45%, portfolio and aptitude test",4 years,"PKR 30,000 - 50,000 per semester",NCA Entry Test (Aptitude + Portfolio),https://nca.edu.pk
