college_name,city,available_streams,eligibility,estimated_fee,scholarship_info,official_source,last_checked,,,,
Government College University (GCU) Lahore - Intermediate Wing,Lahore,FA (Humanities); FSc Pre-Medical; FSc Pre-Engineering; ICS; I.Com; General Science (Boys only),"Passed 9th class with min 60% marks and appeared in Matric the following year, OR already passed Matric/O-Level (not registered/appeared in Inter Part-I elsewhere); written entry test + interview; max age 18",PKR 40000-50000 per year,"Eligible for Punjab Educational Endowment Fund (PEEF) scholarships: Punjab domicile, min 60% marks in Matric, family income <= Rs 60,000/month",https://gcu.edu.pk/admissions.php ; fee data: https://www.eduvision.edu.pk/government-college-university-lahore-gcu-lahore-ins-12 ; PEEF: https://hed.punjab.gov.pk/peef,9/11/2026,,,,
Forman Christian College (FCC) - Intermediate Program,Lahore,FA Humanities; FSc General Science; FSc Pre-Engineering; FSc Pre-Medical; I.Com; ICS,Matric/O-Level or equivalent pass; merit-based selection via online admission system; interview may be required,PKR 150000-163000 per year,Financial Aid Office offers need-based fee assistance and merit scholarships to eligible Intermediate students; apply separately through FCC Financial Aid Office,https://www.fccollege.edu.pk/admissions/ ; fee data: https://www.eduvision.edu.pk/institutions-offering-humanities-with-field-social-sciences-at-intermediate-a-level-level-in-lahore-page-1,9/11/2026,,,,
Kinnaird College for Women - Intermediate Program,Lahore,FA Humanities; FA General Science; FSc Pre-Medical; FSc Pre-Engineering; I.Com; ICS (Physics/Economics),"Girls only; admission via Matric/O-Level open merit list; separate quotas for kinship, sports and extracurricular achievement with trial/interview",PKR 101800-108900 per year,"Need- and merit-based financial aid administered by the Association of Kinnaird College, including endowed scholarship funds (e.g. Hladia Porter Stewart Memorial Scholarship Fund) for qualified students; apply via Kinnaird Association Finance Office",https://kinnaird.edu.pk/intermediate-2026/ ; fee data: https://www.eduvision.edu.pk/kinnaird-college-for-women-kinnaird-lahore-ins-682,9/11/2026,,,,
Lahore College for Women University (LCWU) - Intermediate College,Lahore,F.A. (Humanities); F.Sc. Pre-Medical; F.Sc. Pre-Engineering; ICS (Physics/Statistics/Economics); I.Com; General Science; Home Economics (Girls only),"Regular program 2026 closing merit: Pre-Medical 90%, Pre-Engineering 88%, ICS-Physics 90%, ICS-Statistics 81%, ICS-Economics 80%, I.Com 69%, General Science 60%, Arts 60%; Self-Support program lower merit: 50-70% depending on discipline",PKR 42400-101030 per year,"Need- and merit-based financial aid administered by the Association of Kinnaird College, including endowed scholarship funds (e.g. Hladia Porter Stewart Memorial Scholarship Fund) for qualified students; apply via Kinnaird Association Finance Office",https://www.lcwu.edu.pk/news-aug2020/5241-intermediate-admission-notice-2026.html,9/12/2026,,,,
Murray College,Sialkot,F.A.; F.Sc. Pre-Medical; F.Sc. Pre-Engineering; I.Com; ICS,Matric/SSC pass from any recognized board; admission on open merit basis per Gujranwala Board affiliation rules,PKR 3915-4260 per year,"Government/board-administered fee concessions for children of college/government employees; Punjab Educational Endowment Fund (PEEF) available to eligible Punjab-domicile students with min 60% marks and family income <= Rs 60,000/month",https://murraycollege.edu.pk/fee-structure/ ; PEEF: https://hed.punjab.gov.pk/peef,9/13/2026,,,,
Government College University Faisalabad - University Community College (Intermediate Wing),Faisalabad,F.Sc. Pre-Medical; F.Sc. Pre-Engineering; ICS; I.Com (Male candidates only),"Passed 9th class in prior year and appeared in Matric the following year, OR already passed SSC/Matric or equivalent; maximum age limit 18 years",PKR 5015-6290 per year,"150 Talent Scholarships worth Rs 70 lac over two years; Freeship for FSc Pre-Medical/Pre-Engineering students with 90%+ Matric marks; full tuition exemption for 85%+; half tuition exemption for 80%+; Freeship for ICS/I.Com students with 85%+; full exemption for 80%+; half exemption for 75%+; also eligible for Science Talent Farming Scheme, Pakistan Bait-ul-Mal Fund, MORA Scholarship and other university scholarships",https://gcuf.edu.pk/ucc ; https://gcuf.edu.pk/wp-content/uploads/2024/04/2024-intermediate-programs.pdf,9/14/2026,,,,
Punjab Group of Colleges - Bahawalpur Campus,Bahawalpur,FA; F.Sc. Pre-Medical; F.Sc. Pre-Engineering; ICS; I.Com,Matric/SSC pass or equivalent; open admission subject to seat availability at campus,PKR 80000-100000 per year,Merit-based tuition waivers network-wide: students scoring 70% in Matric receive 50% fee concession; students scoring 75% and above receive free admission (full fee waiver),https://www.ilmkidunya.com/colleges/punjab-group-of-colleges-bahawalpur-fee-structure.aspx ; scholarship policy: https://talib.pk/admissions/punjab-group-of-colleges-admission-fee-structure-fsc-ics-icom/,9/11/2026,,,,
Punjab Group of Colleges (PGC),Lahore,"FSc Pre-Medical, FSc Pre-Engineering, ICS, ICom, FA, DIT",Matriculation or O-Level/equivalent; merit and subject requirements can vary by program/campus,"PKR 150,000-250,000 per yr",Educational scholarships for Punjab/Federal Board position holders; scholarship opportunities listed,https://admissions.pgc.edu/intermediate/,9/11/2026,,,,
Kinnaird College for Women,Lahore,"FSc Pre-Medical, FSc Pre-Engineering, ICS, ICom, FA, General Science",2025-26 prospectus: 85% Matric for FSc Pre-Medical/Pre-Engineering; 70% for ICS/ICom/General Science/FA; subject prerequisites apply,"PKR 171,950-191,050 per year",Scholarship/financial-aid information not stated in checked prospectus section,https://kinnaird.edu.pk/wp-content/uploads/2025/07/Kinnaird%20Intermediate%20Prospectus%202025.pdf,9/11/2026,,,,
Superior College,Lahore,"FSc Pre-Medical, FSc Pre-Engineering, ICS, ICom, FA",Applicants who have appeared in Matric/equivalent examinations may apply; final admission subject to college merit/rules,"PKR 120,000-220,000 per year",Not stated on checked official intermediate page,https://www.superiorcolleges.edu.pk/intermediate/,9/11/2026,,,,
Government Islamia Graduate College Civil Lines Lahore,Lahore,"FSc Pre-Medical, FSc Pre-Engineering, ICS, ICom, FA/Arts",Current Intermediate percentage requirement not stated on checked official prospectus; admission is subject to college/board rules,"PKR 10,000 -30,000 per year ",Scholarship/financial-aid information not stated in checked official prospectus,https://applyonline.giccl.edu.pk/resources/downloads/GIGCCL_PROSPECTUS_2023-24.pdf,9/11/2026,,,,
Concordia Colleges,Lahore,"FSc Pre-Medical, FSc Pre-Engineering, ICS, ICom, FA",Minimum 45% marks (Second Division) in Matriculation/equivalent O Level; age 18 or below,"PKR 100,000-180,000 per year ",Merit and need-based scholarships; kinship scholarships; 50% scholarship for Beaconhouse/The Educators students,https://concordia.edu.pk/details-for-intermediate/,9/11/2026,,,,
Aspire Group of Colleges,Lahore,"FSc Pre-Medical, FSc Pre-Engineering, ICS, ICom, FA/General Science/Humanities",Eligibility varies by program; official site provides program-specific admission requirements,"PKR 100,000-200,000 per year",Merit scholarships up to 100% fee waiver; need-based and other concessions listed,https://aspirecolleges.edu.pk/scholarships-fee-concessions/,9/11/2026,,,,
Government College University Faisalabad ,Faisalabad,"FSc Pre-Medical, FSc Pre-Engineering, ICS, ICom",FSc groups: minimum 33% Matric with science subjects; ICom/ICS: minimum 33% Matric with any subjects,"PKR 60,000-80,000 per year ",150 talent scholarships worth PKR 7 million over two years; freeship/full/half tuition exemptions at specified Matric marks,https://communitycollege.gcuf.edu.pk/admissions.php,9/11/2026,,,,
Government College Women University Sialkot,Sialkot,"FSc Pre-Engineering, FSc Pre-Medical, ICS Economics, ICS Physics, ICom, Arts","Passed Matric with at least 2nd division; Biology required for Pre-Medical, Mathematics for Pre-Engineering; failed Matric subjects ineligible","PKR 10,000-30,000 per year ",Not stated on checked official intermediate page,https://gcwus.edu.pk/intermediate/,9/11/2026,,,,
Government Graduate College Asghar Mall,Rawalpindi,"FSc Pre-Medical, FSc Pre-Engineering, ICS, ICom, Humanities/Arts",Matric/O-Level or equivalent; admission on merit through Punjab OCAS,"PKR 13,000-36,000 per year ",Not stated on checked official admissions pages,https://gpgcam.edu.pk/admissions/intermediate/,9/11/2026,,,,
Government Graduate College Gojra,"Gojra, Toba Tek Singh","FSc Pre-Medical, FSc Pre-Engineering, ICS, General Science, FA Arts, FA IT",Official program page lists Intermediate programs; exact current marks threshold not stated on checked program page,"PKR 10,000-30,000 per year",Official site links CM Punjab Honhaar Scholarship and other government student programs; college-specific amount not stated,https://www.ggcgojra.ac.pk/,9/11/2026,,,,
Fazaia Intermediate College Chaklala,Rawalpindi,"FSc Pre-Medical, FSc Pre-Engineering, ICS, ICom, FA",Admissions 2026 open; official branch page confirms these program categories; exact percentage not stated,"PKR 80,000-150,000 per year",Scholarship/fee-concession details not stated on checked official branch page,https://www.fcms.edu.pk/branches/fazaia-intermediate-college-chaklala,9/11/2026,,,,
Allama Iqbal College Sialkot,Sialkot,"FSc Pre-Medical, FSc Pre-Engineering, Computer Science/General Science, FA, ICom",Admission subject to merit and college/BISE Gujranwala rules; exact current percentage not stated on checked page,"PKR 10,000-30,000 per year",Not stated on checked official page,https://allamaiqbalcollege.edu.pk/?page_id=232507,9/12/2026,,,,
