scholarship,provider,education_stage,eligibility,minimum_marks_cgpa,financial_criteria,coverage,deadline_status,official_source,admission_fee_est,tuition_fee_est,hostel_fee_est,transport_fee_est
CM Punjab Honhaar Scholarship,Government of Punjab,Undergraduate / BS,Punjab domicile; enrolled/admitted in eligible disciplines and institutions; merit based,70% Sciences; 65% Arts/Social Sciences; 80% Medical/Dental,"Family monthly income < Rs 300,000 (published criteria)",100% tuition fee,2026 cycle/status varies; verify current application portal,https://punjab.gov.pk/node/6433,"10,000 - 35,000 PKR (One-Time)","30,000 - 85,000 PKR / semester","25,000 - 55,000 PKR / annual","8,000 - 20,000 PKR / semester"
PEEF Outreach Scholarship - Intermediate,Punjab Education Endowment Fund (PEEF),Intermediate,Punjab domicile; eligible institution; merit + financial need,60% (general published criterion),"Generally â‰¤ Rs 60,000/month under published PEEF criteria",Scholarship support according to PEEF rates,Annual / cycle dependent,https://www.peef.org.pk/,"2,000 - 10,000 PKR (One-Time)","5,000 - 25,000 PKR / annual","10,000 - 25,000 PKR / annual","5,000 - 15,000 PKR / annual"
PEEF Outreach Scholarship - Graduation,Punjab Education Endowment Fund (PEEF),Undergraduate / Graduation,Punjab domicile; eligible institution; merit + financial need,60% in Intermediate (general published criterion),"Generally â‰¤ Rs 60,000/month under published PEEF criteria",Scholarship support according to PEEF rates,Annual / cycle dependent,https://www.peef.org.pk/,"10,000 - 25,000 PKR (One-Time)","25,000 - 65,000 PKR / semester","25,000 - 55,000 PKR / annual","8,000 - 18,000 PKR / semester"
PEEF Special Quota - Intermediate,PEEF / Government of Punjab,Intermediate,"Eligible special-quota categories including orphans, minorities, children of BPS 1â€“4 employees, special persons, children of divorced mothers, etc.",60%,"Generally â‰¤ Rs 60,000/month",Scholarship according to PEEF rates,2025â€“26 cycle closed; next cycle TBA,https://student.peef.org.pk/specialquotaRegistration/,"2,000 - 10,000 PKR (One-Time)","5,000 - 25,000 PKR / annual","10,000 - 25,000 PKR / annual","5,000 - 15,000 PKR / annual"
PEEF Special Quota - Graduation,PEEF / Government of Punjab,Undergraduate,Eligible special-quota categories; Punjab domicile/institution requirements,60%,"Generally â‰¤ Rs 60,000/month",Scholarship according to PEEF rates,Annual / cycle dependent,https://student.peef.org.pk/specialquotaRegistration/,"10,000 - 25,000 PKR (One-Time)","25,000 - 65,000 PKR / semester","25,000 - 55,000 PKR / annual","8,000 - 18,000 PKR / semester"
HEC Need-Based Scholarship,Higher Education Commission (HEC),Undergraduate,Admitted/enrolled at participating institution; financial need assessed by university,Not stated as a universal minimum,Demonstrated financial need; university committee assessment,"Tuition/fee support + Rs 6,000/month stipend",University Financial Aid Office; cycle varies,https://www.hec.gov.pk/english/scholarshipsgrants/Pages/National%20Scholarships/HEC%20Need%20Based%20Scholarships/EligibilityCriteria.aspx,"10,000 - 35,000 PKR (One-Time)","30,000 - 85,000 PKR / semester","25,000 - 55,000 PKR / annual","8,000 - 20,000 PKR / semester"
Benazir Undergraduate / Ehsaas Undergraduate Scholarship,HEC / Government of Pakistan,Undergraduate,Financially disadvantaged students at participating universities,Programme-specific / not stated universally,Financial need,Tuition + living support according to programme,Cycle dependent,https://www.hec.gov.pk/english/scholarshipsgrants/Pages/default.aspx,"10,000 - 35,000 PKR (One-Time)","30,000 - 85,000 PKR / semester","25,000 - 55,000 PKR / annual","8,000 - 20,000 PKR / semester"
Pakistan Bait-ul-Mal Education Assistance,Pakistan Bait-ul-Mal,Intermediate + Undergraduate,Deserving/poor students in eligible government institutions,Not universally stated,Financially deserving/poor students,"Educational assistance; PBM publishes up to Rs 150,000/year for eligible higher-education cases",Applications through PBM/institution; status varies,https://www.pbm.gov.pk/Project-IFA.html,"10,000 - 35,000 PKR (One-Time)","30,000 - 85,000 PKR / semester","25,000 - 55,000 PKR / annual","8,000 - 20,000 PKR / semester"
Scotland Pakistan Scholarship - Bachelor's,Scottish Government / British Council,Undergraduate / Bachelor's,Pakistani women; HEC-recognized university; eligible subject; admission requirements,Not stated on main programme page,Targeted support; programme-specific criteria,Tuition + hostel where applicable + travel support,2026 deadline: 15 September 2026,https://www.britishcouncil.pk/scotland-pakistan-scholarships-young-women-and-girls,"10,000 - 35,000 PKR (One-Time)","30,000 - 85,000 PKR / semester","25,000 - 55,000 PKR / annual","8,000 - 20,000 PKR / semester"
Karwan-e-Ilm Scholarship,Karwan-e-Ilm Foundation,Intermediate + Undergraduate + higher,"Academically strong, financially needy students; partner institutions",Generally 75%+,Need based,"May include tuition, hostel, transport, books etc. depending on assessment",Application/selection through foundation or partner institution,https://karwan-e-ilm.foundation/scholarship-program/,"10,000 - 35,000 PKR (One-Time)","30,000 - 85,000 PKR / semester","25,000 - 55,000 PKR / annual","8,000 - 20,000 PKR / semester"
FAST Merit Scholarship,FAST-NUCES,Undergraduate,Top 3 position holders of each examination board and top 3 NU admission merit-list positions,Position-holder criterion,Not need based,100% tuition fee,At admission; current campus cycle,https://nu.edu.pk/Admissions/Scholarship,"30,000 - 40,000 PKR (One-Time)","160,000 - 220,000 PKR / semester","15,000 - 25,000 PKR / month","25,000 - 40,000 PKR / semester"
FAST Interest-Free Study Loan,FAST-NUCES,Undergraduate,Bright students with financial need; admitted/enrolled at FAST,Not stated,Financial need,Tuition-fee assistance as interest-free loan,According to FAST application/semester schedule,https://www.nu.edu.pk/Student/FinancialRules,"30,000 - 40,000 PKR (One-Time)","160,000 - 220,000 PKR / semester","15,000 - 25,000 PKR / month","25,000 - 40,000 PKR / semester"
UCP Merit Scholarship,University of Central Punjab,Undergraduate / BS,New BS students based on Intermediate marks,Programme-dependent; published bands include 65â€“80%+,Not need based,Up to 75% in published BS scholarship bands,At admission; cycle dependent,https://www.ucp.edu.pk/ucp-scholarships/,"25,000 - 35,000 PKR (One-Time)","130,000 - 210,000 PKR / semester","18,000 - 25,000 PKR / month","22,000 - 35,000 PKR / semester"
UCP Need-Based Scholarship,University of Central Punjab,Undergraduate / BS,Financially needy students; committee assessment,1st Division in Matric & Intermediate stated on UCP aid information,Need based,25-100%,At admission / according to UCP schedule,https://www.ucp.edu.pk/ucp-scholarships/financial-aids/need-based-financial-assistance/,"25,000 - 35,000 PKR (One-Time)","130,000 - 210,000 PKR / semester","18,000 - 25,000 PKR / month","22,000 - 35,000 PKR / semester"
Superior High Achievers Scholarship,Superior University,Undergraduate / BS,Intermediate/A-Level high achievers,90%+ Intermediate = 100%; position holders = 100%,Not need based,100% tuition for qualifying high achievers,Current admissions cycle; deadline tied to admission,https://www.superior.edu.pk/admissions-2/scholarships/,"20,000 - 30,000 PKR (One-Time)","120,000 - 190,000 PKR / semester","16,000 - 24,000 PKR / month","20,000 - 32,000 PKR / semester"
Superior Merit Scholarship,Superior University,Undergraduate / BS,Intermediate/A-Level academic achievers,85-89.99% = 75%; 80-84.99% = 65%; 75-“79.99% = 40%,Not stated,Partial tuition waiver,Admission cycle,https://www.superior.edu.pk/admissions-2/scholarships/,"20,000 - 30,000 PKR (One-Time)","120,000 - 190,000 PKR / semester","16,000 - 24,000 PKR / month","20,000 - 32,000 PKR / semester"
UMT Merit Scholarship,University of Management & Technology,Undergraduate / BS,Students entering BS with Intermediate/A-Level results,90%+ = 100%; 85-89.99 = 95%; 80-84.99 = 65%; 75-79.99 = 40%; 70-74.99 = 25%; 65-69.99 = 10%,Not need based,10-100% tuition depending on marks,Fall 2026 policy published; admission-cycle based,https://admissions.umt.edu.pk/scholarship2.aspx,"25,000 - 35,000 PKR (One-Time)","140,000 - 220,000 PKR / semester","18,000 - 28,000 PKR / month","25,000 - 35,000 PKR / semester"
UMT ILM Scholarship Fund,UMT / ILM Fund,Undergraduate,Students facing genuine financial hardship; document review/interview,Not stated,Financial hardship,Interest-free Qarz-e-Hasna loan,Current admissions information; cycle dependent,https://admissions.umt.edu.pk/scholarship2.aspx,"25,000 - 35,000 PKR (One-Time)","140,000 - 220,000 PKR / semester","18,000 - 28,000 PKR / month","25,000 - 35,000 PKR / semester"
LCWU Scholarship â€“ Intermediate,Lahore College for Women University,Intermediate,"FA/FSc Part-I students; father/guardian income â‰¤ Rs 40,000",Not stated,"Father/guardian income < Rs 40,000",Institutional scholarship; amount not stated in cited prospectus,Apply through LCWU; current 2026 prospectus,https://lcwu.edu.pk/images/2026/Intermediate/interProspectus2026.pdf,"10,000 - 20,000 PKR (One-Time)","30,000 - 70,000 PKR / semester","30,000 - 60,000 PKR / annual","12,000 - 20,000 PKR / semester"
LCWU Hardship Scholarship - Intermediate,Lahore College for Women University,Intermediate,FA/FSc Part-I students with financial constraints,Not stated,"Father/guardian income? Rs 40,000; financial hardship cases",Institutional scholarship; amount not stated,During year; apply through LCWU,https://lcwu.edu.pk/images/2026/Intermediate/interProspectus2026.pdf,"10,000 - 20,000 PKR (One-Time)","30,000 - 70,000 PKR / semester","30,000 - 60,000 PKR / annual","12,000 - 20,000 PKR / semester"
PEEF Scholarship at LCWU - Intermediate,PEEF / LCWU,Intermediate,Freshly enrolled LCWU students; regular BISE Lahore candidate; Punjab domicile; no other scholarship,60% in 2026 Annual examination,"Family income ? Rs 15,000/month",PEEF scholarship,2026 intake; application through LCWU,https://lcwu.edu.pk/images/2026/Intermediate/interProspectus2026.pdf,"10,000 - 20,000 PKR (One-Time)","30,000 - 70,000 PKR / semester","30,000 - 60,000 PKR / annual","12,000 - 20,000 PKR / semester"
Lahore Board Scholarship -Intermediate,BISE Lahore / LCWU facilitation,Intermediate,F.A/F.Sc/I.C.S/Commerce students,>900 marks,Not stated,Merit scholarship; amount not stated in cited prospectus,Application through LCWU Student Financial Aid Office,https://lcwu.edu.pk/images/2026/Intermediate/interProspectus2026.pdf,"10,000 - 20,000 PKR (One-Time)","30,000 - 70,000 PKR / semester","30,000 - 60,000 PKR / annual","12,000 - 20,000 PKR / semester"
Pakistan Bait-ul-Mal Scholarship at LCWU- Intermediate,Pakistan Bait-ul-Mal,Intermediate,Need-based; self-finance/self-sufficient students and dependents of government employees excluded under LCWU criteria,B grade or ?60% previous qualification,Need based,Educational assistance,Application through institution/PBM; cycle dependent,https://lcwu.edu.pk/images/2026/Intermediate/interProspectus2026.pdf,"10,000 - 20,000 PKR (One-Time)","30,000 - 70,000 PKR / semester","30,000 - 60,000 PKR / annual","12,000 - 20,000 PKR / semester"
Punjab University Merit Scholarship,University of the Punjab,Undergraduate / affiliated programmes,Punjab University students; merit-based,Not stated universally,Not stated,"Published departmental awards; examples include Rs 12,000/year",University/department managed; cycle varies,https://www.pu.edu.pk/scholar,"10,000 - 20,000 PKR (One-Time)","25,000 - 55,000 PKR / semester (Regular) | 60,000 - 110,000 PKR / semester (Self-Finance)","35,000 - 55,000 PKR / annual","8,000 - 15,000 PKR / semester"
Punjab University Need-Based Scholarship,University of the Punjab,Undergraduate / affiliated programmes,Punjab University students with financial need,Not stated universally,Need based,Published departmental awards; amount varies,University/department managed,https://www.pu.edu.pk/scholar,"10,000 - 20,000 PKR (One-Time)","25,000 - 55,000 PKR / semester (Regular) | 60,000 - 110,000 PKR / semester (Self-Finance)","35,000 - 55,000 PKR / annual","8,000 - 15,000 PKR / semester"
Punjab University Talent Scholarship,University of the Punjab,Undergraduate / affiliated programmes,Eligible PU students under university talent criteria,Not stated,Not stated,Scholarship amount varies,University managed,https://www.pu.edu.pk/scholar,"10,000 - 20,000 PKR (One-Time)","25,000 - 55,000 PKR / semester (Regular) | 60,000 - 110,000 PKR / semester (Self-Finance)","35,000 - 55,000 PKR / annual","8,000 - 15,000 PKR / semester"
Punjab University Disabled Student Scholarship,University of the Punjab,Undergraduate / affiliated programmes,Eligible students with disability,Not stated,Not stated,Scholarship / fee assistance; amount varies,University managed,https://www.pu.edu.pk/scholar,"10,000 - 20,000 PKR (One-Time)","25,000 - 55,000 PKR / semester (Regular) | 60,000 - 110,000 PKR / semester (Self-Finance)","35,000 - 55,000 PKR / annual","8,000 - 15,000 PKR / semester"
Punjab University Pakistan Bait-ul-Mal Scholarship,Pakistan Bait-ul-Mal / Punjab University,Intermediate + Undergraduate,Eligible PU students meeting PBM requirements,Not stated universally,Need based,Educational assistance; amount varies,University/PBM managed,https://www.pu.edu.pk/scholar,"10,000 - 20,000 PKR (One-Time)","25,000 - 55,000 PKR / semester (Regular) | 60,000 - 110,000 PKR / semester (Self-Finance)","35,000 - 55,000 PKR / annual","8,000 - 15,000 PKR / semester"
Punjab University National Bank Student Loan Scheme,National Bank of Pakistan / Punjab University,Undergraduate,Eligible PU students under NBP student loan rules,Not stated,Financial need/loan criteria,Student loan,Cycle dependent,https://www.pu.edu.pk/scholar,"10,000 - 20,000 PKR (One-Time)","25,000 - 55,000 PKR / semester (Regular) | 60,000 - 110,000 PKR / semester (Self-Finance)","35,000 - 55,000 PKR / annual","8,000 - 15,000 PKR / semester"
GCUF Financial Aid - HEC Need Based,HEC / Government College University Faisalabad,Undergraduate,Eligible GCUF students with financial need,Not stated universally,Need based,According to HEC programme,University Financial Aid Office; cycle dependent,https://gcuf.edu.pk/offices/sfao/,"10,000 - 18,000 PKR (One-Time)","30,000 - 65,000 PKR / semester","25,000 - 45,000 PKR / annual","10,000 - 16,000 PKR / semester"
GCUF Financial Aid - PEEF,PEEF / Government College University Faisalabad,Undergraduate,Eligible GCUF students under PEEF criteria,Programme criteria,PEEF financial criteria,According to PEEF rates,Annual / cycle dependent,https://gcuf.edu.pk/offices/sfao/,"10,000 - 18,000 PKR (One-Time)","30,000 - 65,000 PKR / semester","25,000 - 45,000 PKR / annual","10,000 - 16,000 PKR / semester"
GCUF Karwan-e-Ilm Scholarship,Karwan-e-Ilm Foundation / GCUF,Undergraduate,Needy and academically strong students at partner institution,Generally 75%+ under foundation criteria,Need based,May cover tuition/educational costs depending on assessment,Partner institution cycle,https://gcuf.edu.pk/offices/sfao/,"10,000 - 18,000 PKR (One-Time)","30,000 - 65,000 PKR / semester","25,000 - 45,000 PKR / annual","10,000 - 16,000 PKR / semester"
GCUF Pakistan Bait-ul-Mal,Pakistan Bait-ul-Mal / GCUF,Undergraduate,Deserving students meeting PBM criteria,Not stated universally,Need based,Educational assistance,University/PBM cycle,https://gcuf.edu.pk/offices/sfao/,"10,000 - 18,000 PKR (One-Time)","30,000 - 65,000 PKR / semester","25,000 - 45,000 PKR / annual","10,000 - 16,000 PKR / semester"
GCUF Pakistan Scottish Scholarship Scheme,British Council / Scottish Government / GCUF,Undergraduate,Eligible Pakistani women under programme criteria,Not stated universally,Programme-specific,Tuition/hostel/travel according to programme,Annual; programme deadline,https://gcuf.edu.pk/offices/sfao/,"10,000 - 18,000 PKR (One-Time)","30,000 - 65,000 PKR / semester","25,000 - 45,000 PKR / annual","10,000 - 16,000 PKR / semester"
University of Sargodha Scholarship / Financial Aid,University of Sargodha,Undergraduate,Eligible UOS students; scholarship categories vary,Varies,Varies,Varies by scholarship,University/cycle dependent,https://www.uos.edu.pk/public/index.php/scholarships,"8,000 - 15,000 PKR (One-Time)","25,000 - 55,000 PKR / semester","20,000 - 40,000 PKR / annual","8,000 - 14,000 PKR / semester"
University of Education Financial Assistance,University of Education Lahore,Undergraduate,Eligible UE students under university/external schemes,Varies,Varies,Varies; includes university and external scholarships,University/cycle dependent,https://www.ue.edu.pk/financialast.php,"10,000 - 18,000 PKR (One-Time)","30,000 - 60,000 PKR / semester","25,000 - 45,000 PKR / annual","10,000 - 18,000 PKR / semester"
UET Lahore Financial Aid / Scholarships,University of Engineering & Technology Lahore,Undergraduate,Eligible UET students; multiple donor and government schemes,Varies by scheme,Varies by scheme,"Tuition scholarships, need-based aid and donor support",University/cycle dependent,https://www.uet.edu.pk/about-uet/administration/administrative-branches/,"15,000 - 25,000 PKR (One-Time)","45,000 - 85,000 PKR / semester","30,000 - 50,000 PKR / annual","10,000 - 18,000 PKR / semester"
NUST Need-Based Financial Aid,NUST,Undergraduate,Admitted students with demonstrated financial need,Not stated universally,Financial need,Need-based tuition/financial aid according to assessment,Application tied to admission/financial-aid cycle,https://nust.edu.pk/admissions/scholarships/need-based-financial-aid/,"35,000 - 50,000 PKR (One-Time)","140,000 - 240,000 PKR / semester","12,000 - 20,000 PKR / month","20,000 - 35,000 PKR / semester"
COMSATS Lahore Scholarships / Financial Aid,COMSATS University Islamabad â€“ Lahore Campus,Undergraduate,Eligible students; university and external schemes,Varies,Varies,"Merit, need-based and donor scholarships",University/cycle dependent,https://lahore.comsats.edu.pk/admissions/scholarships_financial_aid.aspx,"22,000 - 30,000 PKR (One-Time)","110,000 - 165,000 PKR / semester","12,000 - 18,000 PKR / month","25,000 - 38,000 PKR / semester"
